Forward Sortation Area (FSA),City,Administrative Region,Population,Area(km2)
H1A,,,31863,15.20
H1B,,Quebec,19884,13.40
H1C,Montreal,Quebec,13538,11.20
H1E,Montreal,Quebec,43532,11.10
H1G,Montreal,Quebec,49857,7.90
H1H,Montreal,Quebec,34471,4.57
H1K,,,33861,6.20
H1L,Montreal,Quebec,32709,7.50
H1M,,,31264,4.94
H1N,Montreal,Quebec,25117,8.70
H1S,"St. Leonard, Quebec",Quebec,24942,3.05
H1T,Montreal,Quebec,29871,4.14
H1V,Montreal,Quebec,23211,5.10
H1W,Montreal,Quebec,30021,3.14
H1X,Montreal,Quebec,31317,2.84
H1Y,Montreal,Quebec,24704,2.64
H1Z,Montreal,Quebec,36900,7.00
H2A,Montreal,Quebec,20131,2.24
H2B,Montreal,Quebec,16694,2.62
H2C,Montreal,Quebec,17713,2.67
H2E,Montreal,Quebec,22696,1.92
H2G,Montreal,Quebec,22501,2.01
H2H,Montreal,Quebec,11843,1.14
H2J,Montreal,Quebec,24896,1.94
H2K,Montreal,Quebec,31859,3.59
H2L,Montreal,Quebec,24077,2.41
H2M,Montreal,Quebec,19774,3.37
H2N,Montreal,Quebec,5602,1.13
H2P,Montreal,Quebec,14839,1.68
H2R,Montreal,Quebec,24063,2.19
H2S,Montreal,Quebec,27406,2.53
H2T,Montreal,Quebec,17126,1.36
H2V,Montreal,Quebec,30481,4.42
H2W,Montreal,Quebec,11685,0.98
H2X,Montreal,Quebec,19572,1.57
H2Y,Montreal,Quebec,1716,0.51
H2Z,Montreal,Quebec,1834,0.29
H3A,Montreal,Quebec,4560,1.01
H3B,Montreal,Quebec,420,86546.00
H3C,Montreal,Quebec,7810,4.85
H3E,"Verdun, Quebec",Quebec,17165,3.80
H3G,Montreal,Quebec,8376,0.96
H3H,Montreal,Quebec,19756,3.74
H3J,Montreal,Quebec,9187,1.10
H3K,Montreal,Quebec,13917,4.44
H3L,Montreal,Quebec,20027,3.84
H3M,Montreal,Quebec,14614,2.60
H3N,Montreal,Quebec,24500,1.67
H3P,"Mount Royal, Quebec",Quebec,11905,2.74
H3R,"Mount Royal, Quebec",Quebec,9531,2.69
H3S,Montreal,Quebec,38042,2.85
H3T,Montreal,Quebec,11744,1.57
H3V,Montreal,Quebec,5274,1.79
H3W,Montreal,Quebec,31872,3.00
H3X,,,23675,3.46
H3Y,"Westmount, Quebec",Quebec,10662,2.47
H3Z,"Westmount, Quebec",Quebec,13134,1.61
H4A,Montreal,Quebec,25257,3.03
H4B,Montreal,Quebec,20830,3.10
H4C,Montreal,Quebec,15854,3.89
H4E,Montreal,Quebec,32159,4.58
H4G,"Verdun, Quebec",Quebec,26868,2.79
H4H,"Verdun, Quebec",Quebec,20395,3.13
H4J,Montreal,Quebec,17597,2.84
H4K,,,12424,4.43
H4L,"Saint-Laurent, Quebec",Quebec,35802,6.00
H4N,,,31772,5.30
H4P,,,6228,5.10
H4R,,,23085,28.90
H4S,,Quebec,547,1.14
H4T,"Saint-Laurent, Quebec",Quebec,,
H4V,,Quebec,22681,2.658
H4Z,Montreal,Quebec,,
H5A,Montreal,Quebec,,
H5B,Montreal,Quebec,,
H8N,"LaSalle, Quebec",Quebec,29710,8.1
H8P,"LaSalle, Quebec",Quebec,21215,4.376
H8R,,,28865,7.1
H8S,,,22044,12.6
H8T,Montreal,Quebec,14818,3.142
H8Y,,,19424,5.8
H8Z,Montreal,Quebec,15011,4.48
H9A,,Quebec,14873,4.507
H9C,Montreal,Quebec,11291,9.4
H9E,Montreal,Quebec,2881,13.4
H9H,,Quebec,27710,9
H9J,,,23122,11.2
H9K,Montreal,Quebec,7843,6.4
H9X,,Quebec,9899,24
