,region_init,region_dest,cars_moved,distance_region,data_type
0,H4G,H4G,2.0,0.0,cars_moved
1,H4H,H4G,0.0,1905.7004418092947,cars_moved
2,H4E,H4G,1.0,1882.872865179342,cars_moved
3,H4C,H4G,0.0,1945.9627996072547,cars_moved
4,H4A,H4G,0.0,3836.106263541968,cars_moved
5,H4B,H4G,0.0,4955.625651013126,cars_moved
6,H4V,H4G,0.0,6148.359484415178,cars_moved
7,H3X,H4G,0.0,5864.465707411114,cars_moved
8,H3W,H4G,0.0,5690.142443503334,cars_moved
9,H4P,H4G,0.0,8024.932940189702,cars_moved
10,H3S,H4G,0.0,6651.706610445907,cars_moved
11,H3T,H4G,0.0,5721.686341706613,cars_moved
12,H3R,H4G,0.0,8060.169740710054,cars_moved
13,H4L,H4G,0.0,10692.54739263251,cars_moved
14,H4N,H4G,0.0,10537.977481424012,cars_moved
15,H3M,H4G,0.0,12704.080996069479,cars_moved
16,H3P,H4G,0.0,8365.152722875975,cars_moved
17,H3N,H4G,0.0,8684.968500837647,cars_moved
18,H3L,H4G,0.0,12198.753681887965,cars_moved
19,H2N,H4G,0.0,10601.286974175515,cars_moved
20,H2P,H4G,0.0,10227.846471001098,cars_moved
21,H2C,H4G,0.0,12819.292369852928,cars_moved
22,H2M,H4G,0.0,11314.8243535341,cars_moved
23,H2S,H4G,0.0,8512.746830011696,cars_moved
24,H2R,H4G,0.0,9466.633760495928,cars_moved
25,H2G,H4G,0.0,9180.865560584147,cars_moved
26,H2E,H4G,0.0,10392.650238548542,cars_moved
27,H2A,H4G,0.0,11150.65418928992,cars_moved
28,H1Z,H4G,0.0,12685.370532750054,cars_moved
29,H2B,H4G,0.0,13810.23887615415,cars_moved
30,H1H,H4G,0.0,15050.459875450893,cars_moved
31,H1G,H4G,0.0,16844.87236125485,cars_moved
32,H1Y,H4G,0.0,9606.959697127124,cars_moved
33,H1X,H4G,0.0,10326.961505218977,cars_moved
34,H1T,H4G,0.0,12159.570926859651,cars_moved
35,H1M,H4G,0.0,13794.094722760934,cars_moved
36,H1K,H4G,0.0,16190.684005791813,cars_moved
37,H1W,H4G,0.0,9233.921874634165,cars_moved
38,H1V,H4G,0.0,10527.3280333205,cars_moved
39,H1N,H4G,0.0,12903.922427481828,cars_moved
40,H1L,H4G,0.0,15884.22110865495,cars_moved
41,H1B,H4G,0.0,20407.23818838668,cars_moved
42,H3H,H4G,0.0,3470.993785299384,cars_moved
43,H2W,H4G,0.0,6136.373700608389,cars_moved
44,H2H,H4G,0.0,8152.31610822717,cars_moved
45,H2J,H4G,0.0,7403.407523969594,cars_moved
46,H2K,H4G,0.0,7621.696226387014,cars_moved
47,H2L,H4G,0.0,6310.311652311887,cars_moved
48,H4G,H4H,0.0,1905.7004418092947,cars_moved
49,H4H,H4H,10.0,0.0,cars_moved
50,H4E,H4H,0.0,1472.0546973489602,cars_moved
51,H4C,H4H,0.0,3250.2499350534813,cars_moved
52,H4A,H4H,0.0,4089.8102485622658,cars_moved
53,H4B,H4H,0.0,4574.51394691778,cars_moved
54,H4V,H4H,0.0,5822.204308008649,cars_moved
55,H3X,H4H,0.0,6089.403664362676,cars_moved
56,H3W,H4H,0.0,6254.547178910945,cars_moved
57,H4P,H4H,0.0,8493.0788005201,cars_moved
58,H3S,H4H,0.0,7621.552130824429,cars_moved
59,H3T,H4H,0.0,6701.412654042326,cars_moved
60,H3R,H4H,0.0,8834.446199097523,cars_moved
61,H4L,H4H,0.0,11222.051712019684,cars_moved
